date,open_price,high_price,low_price,close_price,volume_price,adjclose_price
2019-10-25,6,6,6,6,2645400,6
2019-10-24,6,6,6,6,4268200,6
2019-10-23,6,6,6,6,4071400,6
2019-10-22,5,6,5,6,4174500,6
2019-10-21,5,6,5,5,3611600,5
2019-10-18,6,6,5,5,3197100,5
2019-10-17,5,6,5,6,3606600,6
2019-10-16,5,5,5,5,3868700,5
2019-10-15,5,5,5,5,6350900,5
2019-10-14,5,5,5,5,5273900,5
2019-10-11,5,5,5,5,5909200,5
2019-10-10,5,5,4,5,5228000,5
2019-10-09,5,5,4,4,5809600,4
2019-10-08,5,5,5,5,4823100,5
2019-10-07,5,5,5,5,4154800,5
2019-10-04,5,5,5,5,4213100,5
2019-10-03,5,5,5,5,4346700,5
2019-10-02,5,5,5,5,8154900,5
2019-10-01,5,5,5,5,6592400,5
2019-09-30,5,5,5,5,8919800,5
2019-09-27,5,5,5,5,5548500,5
2019-09-26,5,5,5,5,6080900,5
2019-09-25,5,5,5,5,12164300,5
2019-09-24,5,5,4,5,13097900,5
2019-09-23,4,5,4,5,12474000,5
2019-09-20,4,4,4,4,11603800,4
2019-09-19,4,4,4,4,7860300,4
2019-09-18,4,4,4,4,9796200,4
2019-09-17,4,4,4,4,6406000,4
2019-09-16,4,4,4,4,6761300,4
2019-09-13,4,4,4,4,7662200,4
2019-09-12,4,4,4,4,8908700,4
2019-09-11,4,4,3,4,34005000,4
2019-09-10,4,5,4,5,16659200,5
2019-09-09,4,4,4,4,14578800,4
2019-09-06,4,4,4,4,6701500,4
2019-09-05,4,4,4,4,6892000,4
2019-09-04,3,4,3,3,4227100,3
2019-09-03,3,4,3,3,9044400,3
2019-08-30,4,4,3,3,10634600,3
2019-08-29,3,4,3,4,13363500,4
2019-08-28,3,3,3,3,6439200,3
2019-08-27,3,3,3,3,5701000,3
2019-08-26,3,4,3,3,10319400,3
2019-08-23,3,3,3,3,8660900,3
2019-08-22,3,4,3,3,29177300,3
2019-08-21,3,3,3,3,5910900,3
2019-08-20,3,3,3,3,4260000,3
2019-08-19,3,3,3,3,2887500,3
2019-08-16,3,3,3,3,3130700,3
2019-08-15,3,3,3,3,5888400,3
2019-08-14,3,3,3,3,6081900,3
2019-08-13,3,3,3,3,4504500,3
2019-08-12,3,3,3,3,2677600,3
2019-08-09,3,3,3,3,3079400,3
2019-08-08,3,3,3,3,2306700,3
2019-08-07,3,3,3,3,5856100,3
2019-08-06,3,3,3,3,5157400,3
2019-08-05,3,3,3,3,5681800,3
2019-08-02,3,3,3,3,3594700,3
2019-08-01,4,4,3,3,5596500,3
2019-07-31,4,4,4,4,5208900,4
2019-07-30,4,4,3,4,5271400,4
2019-07-29,4,4,4,4,4327100,4
2019-07-26,4,4,3,4,3209000,4
2019-07-25,4,4,3,3,5790000,3
2019-07-24,4,4,4,4,6020600,4
2019-07-23,4,4,3,4,7703500,4
2019-07-22,4,4,4,4,5488700,4
2019-07-19,4,4,4,4,10946500,4
2019-07-18,4,4,4,4,8585700,4
2019-07-17,4,4,4,4,7643100,4
2019-07-16,4,4,4,4,5970000,4
2019-07-15,4,4,4,4,3068400,4
2019-07-12,4,4,4,4,4392200,4
2019-07-11,4,5,4,4,16778200,4
2019-07-10,5,5,5,5,10853300,5
2019-07-09,5,5,5,5,11721900,5
2019-07-08,5,5,5,5,6592700,5
2019-07-05,5,5,5,5,12894600,5
2019-07-03,5,5,5,5,2562100,5
2019-07-02,5,5,5,5,5643500,5
2019-07-01,5,5,5,5,4310800,5
2019-06-28,5,5,5,5,3896400,5
2019-06-27,5,5,5,5,3756000,5
2019-06-26,5,5,5,5,3551800,5
2019-06-25,5,5,5,5,3085400,5
2019-06-24,5,5,5,5,4823300,5
2019-06-21,5,5,5,5,8954300,5
2019-06-20,5,5,5,5,3933800,5
2019-06-19,5,5,5,5,2973300,5
2019-06-18,5,5,5,5,4070400,5
2019-06-17,5,5,5,5,3686500,5
2019-06-14,5,5,5,5,5304600,5
2019-06-13,5,5,5,5,5840800,5
2019-06-12,5,5,5,5,4914300,5
2019-06-11,5,5,5,5,13423800,5
2019-06-10,5,5,5,5,18926500,5
2019-06-07,5,5,4,5,10591300,5
2019-06-06,4,5,4,5,13558000,5
2019-06-05,5,5,4,5,39354200,5
2019-06-04,7,7,7,7,10430100,7
2019-06-03,7,7,7,7,5229100,7
2019-05-31,7,7,7,7,3983100,7
2019-05-30,7,7,7,7,2695200,7
2019-05-29,7,7,7,7,4127700,7
2019-05-28,7,7,7,7,2732800,7
2019-05-24,7,7,7,7,2542100,7
2019-05-23,7,7,7,7,3919500,7
2019-05-22,8,8,7,7,4516100,7
2019-05-21,8,8,7,8,5697100,8
2019-05-20,8,8,7,8,5043600,8
2019-05-17,8,8,8,8,1967300,8
2019-05-16,8,8,8,8,1751000,8
2019-05-15,8,8,8,8,2253500,8
2019-05-14,8,8,8,8,2612900,8
2019-05-13,8,8,8,8,3043200,8
2019-05-10,8,8,8,8,2301500,8
2019-05-09,8,8,8,8,2339500,8
2019-05-08,8,8,8,8,2062400,8
2019-05-07,8,8,8,8,2591600,8
2019-05-06,8,8,8,8,2406200,8
2019-05-03,8,8,8,8,2179600,8
2019-05-02,8,8,8,8,3116900,8
2019-05-01,8,8,8,8,3538900,8
2019-04-30,8,8,8,8,3207700,8
2019-04-29,8,8,8,8,2548100,8
2019-04-26,8,9,8,8,2306800,8
2019-04-25,8,9,8,8,2627000,8
2019-04-24,8,9,8,9,4106100,9
2019-04-23,8,8,8,8,4452300,8
2019-04-22,8,8,8,8,6278700,8
2019-04-18,8,9,8,8,3814200,8
2019-04-17,9,9,8,8,3921100,8
2019-04-16,9,9,8,9,4720000,9
2019-04-15,9,9,8,8,5527400,8
2019-04-12,9,9,9,9,4778500,9
2019-04-11,9,9,9,9,2545200,9
2019-04-10,9,10,9,9,2807200,9
2019-04-09,9,10,9,9,2978500,9
2019-04-08,9,10,9,9,4551000,9
2019-04-05,9,10,9,9,5743600,9
2019-04-04,9,10,9,10,7917800,10
2019-04-03,8,10,8,9,26597900,9
2019-04-02,10,10,10,10,8670200,10
2019-04-01,10,10,10,10,4415700,10
2019-03-29,10,10,10,10,2919000,10
2019-03-28,10,10,10,10,3122300,10
2019-03-27,10,10,10,10,2606200,10
2019-03-26,10,10,10,10,3535100,10
2019-03-25,10,10,10,10,4486200,10
2019-03-22,10,10,10,10,3289000,10
2019-03-21,10,10,10,10,3205300,10
2019-03-20,10,10,10,10,4103900,10
2019-03-19,11,11,10,10,3089900,10
2019-03-18,11,11,10,11,2451200,11
2019-03-15,10,11,10,11,3537400,11
2019-03-14,11,11,10,10,2839600,10
2019-03-13,11,11,11,11,2191600,11
2019-03-12,11,11,11,11,2164900,11
2019-03-11,10,11,10,11,2703600,10
2019-03-08,11,11,10,10,6171600,10
2019-03-07,11,11,11,11,1811400,11
2019-03-06,11,11,11,11,3312900,11
2019-03-05,12,12,11,11,5537900,11
2019-03-04,11,11,11,11,2228600,11
2019-03-01,11,12,11,11,1901200,11
2019-02-28,11,11,11,11,2820200,11
2019-02-27,11,11,11,11,3397300,11
2019-02-26,11,11,11,11,2158000,11
2019-02-25,11,11,11,11,3594500,11
2019-02-22,11,11,11,11,3249500,10
2019-02-21,11,11,11,11,2489200,10
2019-02-20,11,11,11,11,2960500,10
2019-02-19,11,11,11,11,3305600,10
2019-02-15,11,11,11,11,2211800,11
2019-02-14,11,11,11,11,2468500,10
2019-02-13,11,11,11,11,2132800,11
2019-02-12,11,11,11,11,2678000,11
2019-02-11,11,11,11,11,1918600,10
2019-02-08,11,11,11,11,1801200,10
2019-02-07,11,11,11,11,2021100,11
2019-02-06,11,11,11,11,3479600,11
2019-02-05,11,11,11,11,4271100,11
2019-02-04,11,11,11,11,4271500,10
2019-02-01,11,11,11,11,3477400,10
2019-01-31,11,11,11,11,6049600,10
2019-01-30,11,11,11,11,6151000,10
2019-01-29,12,12,11,11,32870300,10
2019-01-28,15,15,14,15,2984900,14
2019-01-25,15,16,15,15,1915100,15
2019-01-24,15,15,15,15,1282000,15
2019-01-23,15,15,15,15,1837000,14
2019-01-22,15,15,15,15,3188700,14
2019-01-18,16,16,15,15,8547200,15
2019-01-17,15,15,15,15,1743000,15
2019-01-16,15,15,15,15,1992600,15
2019-01-15,15,15,15,15,2228200,15
2019-01-14,15,16,15,15,3610900,15
2019-01-11,15,16,15,15,2419800,15
2019-01-10,15,16,15,15,2904800,15
2019-01-09,15,16,15,15,3554500,15
2019-01-08,15,15,15,15,3443800,15
2019-01-07,15,15,14,15,4718000,14
2019-01-04,14,15,13,15,11915700,14
2019-01-03,12,13,12,12,1750400,12
2019-01-02,12,13,12,13,2124200,12
2018-12-31,12,12,12,12,2790300,12
2018-12-28,12,12,12,12,2026300,11
2018-12-27,12,12,11,12,1834600,11
2018-12-26,11,12,11,12,2404200,11
2018-12-24,11,12,11,11,1328500,11
2018-12-21,12,12,11,11,4423000,11
2018-12-20,12,12,12,12,2671200,12
2018-12-19,12,12,12,12,2425900,12
2018-12-18,12,13,12,12,2594900,12
2018-12-17,12,13,12,12,2255700,12
2018-12-14,12,13,12,12,1663700,12
2018-12-13,13,13,12,12,2436600,12
2018-12-12,13,13,12,13,1817800,12
2018-12-11,13,13,12,12,2338200,12
2018-12-10,13,13,12,13,2793700,12
2018-12-07,13,14,13,13,3402600,12
2018-12-06,13,13,13,13,3197200,12
2018-12-04,13,14,13,13,3733900,12
2018-12-03,13,13,13,13,4021200,13
2018-11-30,12,13,12,13,11906800,12
2018-11-29,15,15,14,14,4209600,13
